How would you categorise yourself in college? (This in no way will determine your selection. It is just for us to get a better understanding of your academic performance if you think it is necessary for us to know),How much would you rate the look of the platform on a scale of 1-10 where 1 is the least rating while 10 is the highest ?,What do you think can be improved in the UI/UX part of the platform?,"Would you prefer Widhya's approach of ""Learning by Doing"" as compared to the conventional theoretical approach ? ",Why did you choose Yes/No in your previous question? Please explain.,"On a scale of 1-10, how effective was the ""Widhya way of learning"" for you?",Why did you think Widhya's way of learning was effective for you?,"Did the ""Learning by Doing"" methodology of Widhya interest you and keep you occupied?",Was the Widhya way of learning helpful for you to learn something new?,"How long did you take to complete the Mission in minutes? Example: if you took 1.5 hours, then please mention 90 in the answer section below.",Which Mission did you complete?,Was the Mission effective for you in terms of learning/solving?,Why was the above mentioned Mission effective/not effective for you?,How easy or tough were the Missions for you on a scale of 1-5 where 1 implies extremely easy and 5 implies extremely tough?,Can anything be improved in the Missions to make your experience in the future much better?,How much would you rate the Mission on a scale of 1 to 10 where 1 is the least and 10 is the highest?,Did the Microtasks facilitate a progressive learning curve for you?,What do you think can be improved in every Microtask?,"Overall, on a scale of 1-10, how much would you rate the effectiveness of each Microtask?",How satisfied are you with Widhya's platform?,How likely are you to recommend the platform to your friends/family to use and improve on their skills?,Did you learn something new from the Missions?,"If yes, then what did you learn out the Missions on the platform?",What new topics would you like Widhya to cover in the Missions format in the days to come?,What new skills did you learn after solving Missions on Widhya's platform?
Top 25% in class,7,"Thers is an option to download the data set, I taught some excel sheet will get downloaded, it should have been made a bit clear, and in the last question the answer is range0:2000 they have asked for a number, I didn't quite understand the question.",Yes,"I have been in the theoretical approach all my life, I am thinking to give the other option a chance, and I never felt confident in the theoretical approach. ",6,"Linear regression was explained in adequate manner for a beginner, it gave us a broad idea of how it actually works. ",Maybe,Yes,20,Deep Learning Mission,Maybe,I DONT KNOW,4,"dataset mentioned, is confusion whetaer it is to be download or not",7,Yes,A bit more clear,7,7,7,No,,No idea,Linear Regression
Top 5% in class,10,The UI/UX of the platform was the most impressive one i have seen.,Yes,"Beacuse, that is the most effective techinque and it helps remember the mistakes we have done.",9,It was hands-on so it was very effective unlike other platforms.,Yes,Yes,120,Data Science Mission,Yes,Yes,3,More no.of missions would be better,8,Yes,Nothing,9,9,10,Yes,"I didnt know how to load the data from the url, as i was only aware of dealing with the datasets in excel.",Everything was covered,"Preprocessing,Functions in pandas"
Top 10% in class,9,"A Performance Analytics Dashboard cpuld be added which compares your performance with other people using the platform. Also, more information could be added on the website regarding what Widhya is all about.",Yes,Learning by doing gives a sense of achievement and the learning that comes with it is in-depth. I had learnt alot of these concepts but applying them from scratch gives you a sense of achievement and it's easier to remember concepts when working on a practical problem. Thus way of learning gives an edge in a practical environment. ,9,The microtasks helped me understand things in a step by step manner. ,Yes,Yes,40,Data Science Mission,Yes,It was effective because I could understand how to approach a new problem and there was proper guidance and hints available. The hints were very helpful but also left some things to me to figure out myself.,2,"The microtasks could have Beginner, Intermediate and Advanced levels to cater to a wider audience. ",9,Yes,Each microtasks could have a few nire questions and could be more subjective.,9,9,10,Yes,"I learnt Linear Regression, Data cleaning and preparation,  Exploratoru data Analysis using Python Pandas and Numpy.",Various Machine Learning Alogorithms could be taught as it gets very tough to learn from the online courses.,"I learnt Data Cleaning and Preparation, Exploratory Data Analysis, basics of Python pandas and Linear Regression."
Top 25% in class,7,The website is a bit slow .Also I faced some issues related to screen resolution. I had to zoom out in order to solve the missions.,Yes,I choose yes because practical application of the subject is necessary than just the theory part taught at college.,8,Widhya is a quite effective platform because of the practical applications taught in it.,Yes,Yes,60,Deep Learning Mission,Maybe,It helpedme to  understand the concepts better.,3,The technical terms could have been explained in a simple way. Many taks lacked a good introduction.,8,Yes,The tasks should be increased and technical terms can be explained in an easy way.,7,7,7,Yes,Practical Applications,Artificial Intelligence,Understood Deep learning and its applications
Top 2% in class,8,"There are some glitches in UI, like after completing a mission , it doesn't , in any way, clarify to the user on dashboard. In fact, the mission completed tick remains on every page of the site.",Yes,"I have always preferred to learn by doing projects even before Widhya. By reading theory , we tend to forget main concepts if not revised timely. Practical approach is better because we spend a lot of time in exploring things related to the project which clears every doubt.",8,"As all of the code was provided, it was quite easy to solve the questions. I would suggest giving code completion exercises to improvise.",Yes,Yes,10,Deep Learning Mission,Maybe,"As all of code was available, it was quite easy to solve the questions.",1,Partial code completion exercises can be given. ,6,Yes,"Instead of small answer questions, questions related to major concepts would have been useful.",7,5,5,Yes,"I learnt how to go through code, written by someone else :p","Cloud Computing, CyberSecurity","To be honest, just Dry running code."
Top 5% in class,9,"UI/UX looks good , just need to improve some part in the responsive mobile site.",Yes,Because it has steep learning curve rather than boring linear learning rate.,9,Because it has steep learning curve rather than boring linear learning rate where I can grasp more concepts from knowing why I need this code or why shouldn't I do this step which helps us dealing with real world problem more effectively.,Yes,Yes,2,Deep Learning Mission,Yes,It was unique and interesting,3,I think it was perfect keeping beginners in mind.,8,Yes,Integrating code bits and parts together,8,8,9,No,,Reinforcement learning ,None.
Top 10% in class,4,Th profile shown shown be improved in terms of UI. For example :-Information of the profile should be highlighted with big font and not necessarily picture.,Yes,"""Learning by doing"" creates an impact of the practical approach to real life situation for applications of those knowledge.Hence I think ""Learning by doing"" works appropriate for me.",10,This way of learning catches attention and focus through which I can learn better.,Yes,Yes,15,Deep Learning Mission,Yes,It was effective because now I think that I can remember all those things that I have learnt through this method.,1,"After a particular level, answers should not be directly given.The paragraph should make us to think in the researching way.",10,Yes,Microtask should be in levels from easy to difficult.,8,10,7,Yes,,Deep learning with the real world examples where it is used,I learnt the basics of Deep learning mission which can be helpful as a kickstart towards my journey.
Top 2% in class,8,"the transition from one page to another,
vertical scrollbar can be added for easier access
",Yes,"Only with handsOn experience, a person can learn and show interest on the topic",9,It helped me to search and find out the answer as well as the meaning of the keywords present in the code.,Yes,Yes,30,Deep Learning Mission,Yes,It helped me to get familiarize with the keywords used in creating a deep learning model,1,video related stuff regarding the topic can be added for better understanding,9,Yes,extra content can be added,8,8,8,Yes,The interaction was good with the system,much more details regarding the concepts can be added,It helped to refresh the topics that was familiarized before
Top 25% in class,9,Platform looks great.One can easily navigate through all the options but I don't like the color contrast.,Yes,As we all know In college the conventional theoretical approach is being practiced and that's really not useful as you tend to forget what you have learnt in the previous semester but by learning by doing it's easy for anyone to remember any concepts for longer duration.Also by doing you would get to learn many new concepts.,10,I have completed Deep Learning Mission of Widhya and I could say questions are quite tricky like if you have thoroughly read what is being asked you to do then only you will be able to figure out the solution. It's not that you can google and get the answer.You need to read between the lines.,Yes,Yes,90,Deep Learning Mission,Yes,I have some knowledge of deep learning but usually I used to hate reading other's code but while solving the question of this mission I actually enjoy to read the code and then to find out the solution.,4,"In the missions, If hints would be there for tough questions then that would be helpful.",10,Yes,"Questions quality was very good. For future, number of questions could be increased.",10,9,10,Yes,I learn how to read patiently other's code and also I feel quite competitive like I have to finish this as soon as possible.,Competitive Programming Mission  would be helpful if that would be added to this.,Learn to be more concentrated while solving the problem.And got to know some more interesting facts about deep learning with the help of given code.
Top 25% in class,10,Maybe it can be made more mobile friendly so that it can be used anywhere,Yes,"Theoretical approach is more of mugging up, actually we learn by experience so this is the best way",10,Due to microtasks it is more engaging,Yes,Yes,20,Deep Learning Mission,Yes,Due to microtasks it is more engaging,3,More questions maybe complete project based,9,Yes,More questions maybe complete project based,9,10,10,Yes,"The basic terms epochs,learning rate",CNN,"The basic terms epochs,learning rate"
Top 10% in class,8,There can be points to mention the difficulty level of each mission in future and number of successful submissions.The link to Ask for help is not correct. ,Yes,Because in most of the learning platforms they either have all the theory part or all kind of practical exercises mentioned but do not keep the learner involved from just the basic. All these learning platform  must focus on building the learner's interest from the initial chapters.,7,the concept of engaging students from scratch was impressive and moreover the stepwise content from each task helped to learn and grasp things easily,Yes,Yes,20,Full Stack Development Mission,Yes,As it helped me learn about flassk in a better and easy way ,2,instead of not letting the person go the next level the missions can be improved by letting the learner answer to what he/she has actually learnt and on completion the mistakes and improvement can be suggested,5,Yes,Already mentioned in the above asked questions,4,5,7,Yes,About Flask,"Flutter, Deep Learning, Image Recognition",Flask
Top 2% in class,6,yes,Yes,Only reading is a boring task. Implementing the theories learnt can assure us if we really learnt that thing. Also it serves as a quality assurance while learning. It help us measure our grasping power.,7,"Because it implements learning by doing. And most importantly, it is an interactive learning.",Yes,Yes,5,Full Stack Development Mission,Yes,"It was effective. Because it started with the building blocks of what is said in the mission. And also, it gave a birdview of the technology keeping simplicity intact by not digging deep in first time.",1,Image of Video can be included for illustrative purpose. or even an animation.,7,Yes,"Increase number of questions per Microtask. Also provide different types of questions like one textual answer question, Multiple Option Single Choice questions, Multiple Options Multiple Answers questions etc.",7,8,8,Yes,Learnt the basics of Flask.,Not sure about this.,Flask
Other,6,It can be made more interactive with more visual elements like flowcharts and pictoral represeentations. Although the current UX is seamless and very goal oriented which is also pretty great!,Yes,"Well, the whole point of taking up internships with barely any knowledge about the skills required is to learn by doing. I have doing that since my first year. The struggle though not very encouraging is an amazing reinforcer of the taking chalenges head-on attitude.
I am very happy to ",8,"It is the best way to learn. Because when you implement something and have to debug it to get it running, you remember it more because of the debugging.",Yes,Yes,15,Full Stack Development Mission,Maybe,"The mission helpmed get an idea of what all I might expect from the internship, but apart from that it wasn't very helpful in terms of learning a lot of new stuff. It would be nice if it were more interactive, more visual and more focused in depth about one thing.",2,"Yes, the interactions can be made better making it a better experience, ",6,Yes,The way the question is asked and the type of answer that is expected. It can be better if we get to interpret and point out things in a code rather one word or two word answers.,5,5,6,Yes,I learned some technical terms and flows involved in the backend.,I would like a more detailed and broken down mission especially about deep learning.,I learned some new technical terms and workflows involved in the backend and understood the basic working model of a website.
Top 25% in class,10,It seems pretty interacting and everything is well organised. I am quite satisfied with the UI,Yes,Yes because conventional theoretical approach is more of a mugging up thing while this way we actually learn to do stuffs,10,Because of the microtasks it provides stepwise learning and better understanding,Yes,Yes,20,Full Stack Development Mission,Yes,The microtasks gave better understanding of the problems,3,"Maybe less of comprehension can be include, while I was answering most of the question's answer I found in the above theory itself. So no research work.",8,Yes,"Maybe less of comprehension can be include, while I was answering most of the question's answer I found in the above theory itself. So no research work.",9,10,10,Yes,Flask was new to me,More of such tasks with complete development,Flask
Top 10% in class,7,The font size should be adjusted. There should be padding in FAQ section.,Yes,"Because I myself is a self learned developer being from a chemical engineering background.  I have learnt everything till date by doing projects. I have done few courses on Machine Learning, I know the algorithms thoroughly but I haven't been able to execute those due to lack of projects.",7,"Great, I learnt a new skill.",Yes,Yes,120,Full Stack Development Mission,Yes,I learned a new skill.,1,Submitting the whole project at the end of every mission.,7,Yes,Submitting chunks of code instead of one word answer at the end of each microtask,6,7,7,Yes,Writing webpages with python,"BlockChain, Flutter Development , MERN stack development.",Writing webpages with python
Top 2% in class,8,Navigation Across different Routes,Yes,This Learning by Doing is far more better than theoretical approach as it gives everyone to explore and learn from same level. This approach also helps in gaining practical knowledge.,9,It helped be gain practical knowledge and made me learn how to handle errors and gain information from the official documents rather than gaining it from videos,Yes,Yes,120,Full Stack Development Mission,Yes,It was effective as i learned error handling in flask and some new attributes in CSS,3,I think they are quite good,9,Yes,The checking system should ignore in space between characters,9,8,9,Yes,I learnt about flask and its modules,Blockchain,"Flask
Python
CSV"
Top 10% in class,9,Everything looks beautifully designed! Maybe one improvement would be to change the arrow to a hand when hovering over 'Mission Details'.,Yes,"Online courses generally make you spend hours learning before you get to implement anything. With this approach of learning you jump right in, and get to make mistakes and learn from them as you advance to the next steps- which is great from a student standpoint!",8,"I understand things by doing, and that's why I enjoyed doing the Mission as it allowed be to learn in a more hands on method.",Yes,Yes,25,Full Stack Development Mission,Yes,"Even though I already have a little bit of knowledge in Flask, I was able to learn more with the simple and short explanations. ",2,Including screenshots of the outputs would make it even better.,8,Yes,Including another question to make sure that the student has understood.,8,9,10,Yes,"I had a better insight as to how forms work, and the resources that the platform had provided aided in this further.",Django,Flask
Top 5% in class,7,"UI Is good. The problem with the assignment, They don't accept easily.",Yes,It's good and neat.,8,"Yes, Because teaching and immediately solving from question gives more confident on that topic.  ",Yes,Yes,40,Full Stack Development Mission,Yes,I learnt about flask. It is new to me. Now I'll explore more on that topic.,4,Make the assignment checking condition easier.,8,Yes,"Nothing, Its fine.",8,9,8,Yes,I learnt about flask and few ML concepts.,Django and react,Flask
Top 25% in class,9,"plateform UI/UX is  awesome but Header is not fixed and slider next and previous icon, load more color is fade ",No,"Learning by doing is far better than theoretical approach, books and materials or formal education. Some people believe that only theoretical learning  does not have any alternative but in my perception, something learned via practical work stays with a person till the end of his life.",9,"I  like Learning by Doing"" methodology ",Yes,Yes,150,Full Stack Development Mission,Yes,based on this mission first time write code in flask,3,YES,8,Yes,Yes,5,9,9,Yes,Flask ,NLP,"flask, mongodb"
Top 25% in class,7,I think it should be more interactive like students were able to do work side-by-side in an editor environment rather than creating a whole local virtual environment and doing things. It will make a task for students more hustle free and also more fun and interesting.,Yes,I have done two internship till now and I found out that I gain lot more knowledge in internship than my courses. I was able to tackle real-life problems.,9,Bacuase it gives more practical knowledge and real- life examples.,Yes,Yes,35,Full Stack Development Mission,Yes,Since I also start doing things with the information given in the task and also started tackling errors. ,2,I think more of practical working as well with the tasks.,5,Yes,I already told it that if individual can also able to perform tasks side-by-side will be big change.,6,6,6,Yes,Creating Form and I also did complete it and send to you.,How to create whole e-commerce website using Django or Flask. This will give in-depth knowledge of how Django-ORM works and also same for flask.,Flask and Flask-wtf since I only did projects using Django/Python.
Top 2% in class,10,I believe UI can be made more user friendly by providing ide to test code just like w3schools,Yes,Learning by doing makes things interesting and its feel like we are playing a game,10,It helps to learn basics  of full stack development through microsubstask which makes it easy and interesting,Yes,Yes,80,Full Stack Development Mission,Yes,It makes learning interesting.,2,Ide to test your code can be provided like w3schools ,10,Yes,I believe some video and ide to test code can be provided to make it better,10,10,10,Yes,I learned basics of flask,I like to cover more topics  related  to flutter development,I learned flask
Top 10% in class,8,"once we finish the mission, the mission completed icon appears all over the screen and never goes off. It blocks the paragraph which we are supposed to read to write the code. Other than that the interface is really good.",Yes,It would help in solving the problems we face on our own rather than looking into tsome help from the theory (which doesn't work all the time),8,I went through the tutorials point steps and was able to do it without any prior experience.,Maybe,Yes,110,Full Stack Development Mission,Yes,I went through the tutorials point steps and was able to do it without any prior experience.,3,I found the mission interesting even without any prior experience on that area.,7,Yes,"nothing, the answers typed were also considering the case of the word which made it easier to fill the blanks",8,8,8,Yes,running a web application using flask,"Machine Learning and Artificial Intelligence, mobile application development using flutter",running a web application using flask
Top 25% in class,8,-,Yes,It can help even for the basic learners ..,8,-,Yes,Yes,60,Full Stack Development Mission,Yes,-,3,-,8,Yes,-,8,8,8,Yes,-,-,Creating an App using Flask
Top 25% in class,8,-,Yes,-,8,-,Yes,Yes,50,Full Stack Development Mission,Yes,-,3,-,8,Yes,-,8,8,8,Yes,-,-,Using Flask and running the applications
Top 10% in class,7,NA,Yes,Practical approach always gives us more experience than theoritical. I prefer Learning by doing. ,7,"Not only theoretical, I am also learning practical application",Yes,Yes,60,Full Stack Development Mission,Yes,I can to know about flask and it's implementation and also it's working. I am learning new methods of web apps,3,NA,7,Yes,Objective questions out of paragraph so that we can search more about app,7,8,8,Yes,I have learnt steps to basic flask web app,Flutter,Flask app
Top 25% in class,8,Mobile view needs to be taken care of,Yes,The best time utilization along with learning new technology.,8,It kept me engaged and I learnt something new. I kept working until minute bugs weren't removed from code.,Yes,Yes,75,Full Stack Development Mission,Yes,It was effective as I was able to get an overview of the flask framework as I have never used it before,2,More engaging questions,8,Yes,The fill in the blanks answer should not be direct from the paragraph above. It should engage a person in searching the web or doing research for answers.,8,8,7,Yes,I learnt the basics of flask usage,Some tasks on Flutter,Basic usage of flask framework
Top 25% in class,8,Na,Yes,It was pretty impressive the steps description,8,Good explanation,Yes,Yes,120,Full Stack Development Mission,Yes,I knew about different methods,4,More information on code description,8,Yes,Na,8,8,8,Yes,,Artificial intelligence,Writing code using flask
Other,8,It was user friendly and can add some more features.,Yes,I believe engineering is not all about classrooms and concepts it is about getting to see the practicality of everything ,10,we learn better when we know the real world usage of particular concept.,Yes,Yes,20,Data Science Mission,Yes,It was an example of real world problem.,2,Could increase the difficulty level of the missions,8,Yes,Should explain in more detail that where the concept is used in real world.,9,8,9,Yes,Made my basics strong.,Django,I discovered the efficient ways of solving a problem
Top 10% in class,9,"One suggestion is that, you can add the icon of social media, in the contact page.",Yes,"Learning by doing gives people the practical knowledge. They can learn and perform it side by. This method is beneficial for most of the people, because ultimately its your practical knowledge that matters more then theoretical knowledge. ",9,"It was quite effective, because the user has the topics in a specific order. There are some references related to each topic too. This makes the user procced step by step and enhance knowledge. Lastly, there is a question too, which the user is suppose to answer to complete the task. This helps them gain some confidence in the learning process.",Yes,Yes,30,Data Science Mission,Yes,I got a chance to work on a problem and create a model. ,2,You can increase the number of questions in each microtask. ,8,Yes,You can add more questions in each microtask. ,7,9,10,Yes,I learned more about exploratory data analysis.,You can add topics like cloud computing and game development. ,"I worked more on exploratory data analysis, which would further help me dealing with my data in a better way."
Top 5% in class,7,It should me made more interactive and user friendly.,Yes,Because I know Python and I don't know data science but I always wanted to learn it and I m getting the best opportunity to learn it by doing. ,10,Learn by doing!! ,Yes,Yes,90,Data Science Mission,Yes,Yes..because everything was given on how to accomplish the mission..we just had to follow the steps. We learnt a lot. ,3,The platform should be more user friendly ,9,Yes,Mentoring should be provided. ,8,8,9,Yes,,"Teach data science, it's libraries, everything from the basics. ",Problem-solving and patience. 
Top 10% in class,9,The description part in each mission could be more clear and distinct. ,Yes,"Learning never stops. Widhya's learning by doing approach is structured in a way that aims to provide every student an independent and equal platform, a real-time industrial experience, even before they start doing a job or an internship. Widhya's approach is focused on understanding the basic theoretical foundations in the domain. I strongly believe that when you are learning a theoretical concept while doing practically, it makes us better understand. Widhya's way of learning is very much effective because first, it allows us to understand the concept in a comprehensive way. After learning it also allows us to test that knowledge in a step-wise manner. Like the dataset in each mission is very well described. Also, there are clear instructions for each task of the mission. Once, we have a thorough understanding of the problem it becomes very much easy to find a complete solution. The learning is completely aimed to give theoretical as well the practical knowledge about various concepts in Data Science and Machine Learning.",9,Widhya's way of learning was effective for me because it is purely based on performance. The learning approach believes in quality and efforts to get good results. Not just overall results but performance for each sub-task of the mission is also evaluated. Clearing these sub-tasks made me feel more confident about the concepts in the domain. In this even beginners stand a fair chance to compete with intermediate and advance coders for this internship as Widhya's way of learning believes in transparency.,Yes,Yes,140,Data Science Mission,Yes,"The Missions were the most effective way of learning. It helped me in brushing up the learned theoretical concepts and the coding skills. Thinking and selecting the right answer for each micro task made me feel more confident and determined to do the further questions. Also, the evaluation is strictly based on solving each micro task of the mission.",2,More micro-tasks could be added that focuses more on coding.,9,Yes,Few multiple choice questions could be added.,10,10,10,Yes,"Each mission is based on various concepts of the domain. Data Science is a vast domain and it requires immense practice to call out each concept while coding. The micro tasks of the missions helped me in recollecting various concepts which I have learned years ago. For example, the first time I learned Linear Regression was in the year 2017. But, with missions on Widhya's platform I feel more confident about my knowledge now. Also, I learned doing these micro tasks on both R-Studio and Python platform.","More concepts like Forecasting, Time Series, Market Basket Analysis and Recommendation System could be covered in the further missions.",To locate a specific value in a column of the data. To perform Linear Regression using sklearn.
Top 5% in class,7,Nothing,Yes,It will be helpful,7,It good in knowledge,Yes,Yes,110,Data Science Mission,Yes,I learned something new,4,Nothing,9,Yes,Nothing,9,9,10,Yes,,Everything,Everything
Top 10% in class,8,May be adding drag and drop in flutter ,Yes,Because of this we are getting chance to interact with everyone and this is what people in companies do,9,"Because I never was part of suchthing...
And I am very excited and looking after this internship",Yes,Yes,30,Full Stack Development Mission,Yes,It was effective because the questions asked were basics ...so I was able to go through my basics again ,2,No asking questions from basics is right thing I would say ,10,Yes,Nothing much ...but you can add more number of questions,9,9,10,Yes,I was able to revise my basics ,It was about flask ,"Flask , flutter advance"
Top 10% in class,8,"The response time and good look and feel, attractiveness ",Yes,Coz I liked the motto learning by doing which is actually 110% realistic ,9,Coz I learnt many things that were unknown to me during the missions ,Yes,Yes,115,Data Science Mission,Yes,Coz I learnt different approaches to a problem ,2,IDE provided there itself would be great so that we dont have to shift to an other application to execute the code and paste it back in the page or answers field ,8,Yes,It was proper nothing as such ,8,8,8,Yes,,Covid 19 analysis ,To read the questions carefully twice and thrice coz the answer might be in the question itself and never be in a hurry.keen observation basically.
Other,6,comparison of ideas: can have open source software where every designer put their ideas and than comparison between different ideas of same type will be shown. ,Yes,"Yes, because I can't find internship on my skill basis until now but thanks I can show my skills and learn together same time. ",7,Because the best of learning something is by implementing so that we will not learn but see where are we making errors and improve it.,Yes,Yes,90,Data Science Mission,Yes,Love practicing,4,fine,8,Yes,fine,8,8,8,Yes,finding missing values,fine,"EDA, Data analysis, Predicting model"
Top 25% in class,6,"The platform has been designed well, I just felt the documentation of the tasks was not upto the mark. If a total beginner would've opted, then I guess he/she might find it a little tough.",Yes,That's the only way to apply the concepts.,6,It had practical implementations of the concepts learnt. ,Yes,Yes,87,Full Stack Development Mission,Maybe,"I'm interested in application development using flutter and that's sort of android side, the tasks were however focussed on flask, I think it would've been better to start right off with flutter rather than with flask.",3,No.,7,No,Documentation,6,7,6,Yes,Flask was totally new for me. I had experience of Django beforehand but flask was different experience. It was good.,Focus pure on the role for which internship positions are open.,Web development using Flask.
Top 10% in class,10,UI can have a chatbot to help students stuck with some help.,Yes,It feels more real and apt with our current work scenario,10,Basics were clear and information was precise,Yes,Yes,20,Full Stack Development Mission,Yes,Because it was beginner level,1,Instead of one word answers if we can code as well it would be great,10,Yes,Microtask are good.Need no improvemeng,10,8,9,Yes,About flask ,"Sql, angularjs,react,vanillajs","Web development, web architecture, learn by doing"
Top 10% in class,8,UI/UX of widhya website is great,Yes,Learning by doing is very effective and students can learn easily and remember for a much longer time,9,"It's learning by doing, we get practical experience and we can learn things easily",Yes,Yes,15,Full Stack Development Mission,Yes,It was effective because we came to learn something new through them.,3,"Yes, the level of difficulty and way of evaluation can be improved.",6,Yes,The evaluation process,8,8,9,No,,Maybe React framework,Nothing
Top 10% in class,9,More practice problems,Yes,Because it is helping most of the beginners to learn ,9,It is Interesting to learn,Yes,Yes,180,Full Stack Development Mission,Yes,It is helpful as it helped in learning new things,4,None,9,Yes,Good as the way it is,9,8,9,Yes,Problem solving,As provided,Trying to solve problem by learning new things
Top 5% in class,8,I have experienced that you have put settings icon on web but it is not working properly. I even don't get the point for putting dashboard and missions to menu as it both looks similar.,Yes,I think this is the way through which some students with less knowledge can also participate for internship and after based on them hard work towards learning he oe she gets some fruitful result.,9,I think this is the best way for learning where a company first guide people how they can enter into this field and learn concepts. Finally based on learning we might get internship so I think this way is great.,Yes,Yes,120,Data Science Mission,Yes,"I have learned some new concepts for decreasing my MSE in last microtask, which eventually helpful for me to learn some new tricks.",2,You should also provide some video links for reference.,8,Yes,You should provide video links for reference.,8,9,8,Yes,"At the end of mission, l learned some new topics and also learned some tips and tricks to improve my answers.","Topics like feature engineering, modelling you can include.","I learn some skills based on filling missing values. Different ways we can use for filling it and I used regression technique for filling missing values. I learn skills like feature selection, train test split ratio effectiveness, and at last model selection.
"
,7,The scrolling part is the main problem. Also on completing of tasks the babe of mission complete doesn't leave the center of page till refreshed.,Yes,You always learn more when you read and try to find on your own ,9,Because of lean by doing methodology,Yes,Yes,60,Full Stack Development Mission,Yes,I haven't worked in flask before and thus find it interesting to work with.,4,Nothing,9,Yes,A bit more explanation in few microtasks can help,9,8,8,Yes,,It covers major domains of work. So no suggestions,Introduction to Flask framework
Top 10% in class,10,UI/UX is really great.,Yes,Because after having production development knowledge I got to know that what we learn cpan never be useful if it is not applied and the real life development is far different from the degree knowledge.,10,As I said earlier that knowledge gained by experience is very much important and Widhya is doing it in the best manner.,Yes,Yes,40,Full Stack Development Mission,Yes,It was pretty effective as I have brushed up my knowledge.,2,If any type of development task will be there in future.,7,Yes,Every microtask was designed in progressive and descriptive manner that was really helpful.,10,10,10,Yes,How a progressive description can help my learnings.,Cloud Computing,Step by step data analysis.